,CO,NO2,NOx,O3,PM10,SO2
2024-03-14,624.8021,15.016821,29.114496,42.506393,22.111687,2.141874
2024-03-15,622.58234,15.2956085,28.624254,44.31705,22.260166,2.0881646
2024-03-16,608.9483,12.006044,24.322746,46.59222,18.126915,1.7443668
2024-03-17,613.0456,13.512071,24.402233,46.030796,17.205029,1.9011551
2024-03-18,622.7615,16.736467,31.03535,46.398655,21.26645,2.0412302
2024-03-19,615.7068,17.249573,30.292805,46.43928,20.508791,2.5414703
2024-03-20,618.81195,17.329939,31.986593,45.28378,22.753574,2.472842
2024-03-21,615.44714,17.251823,34.683197,45.35328,25.076904,2.7926135
2024-03-22,615.595,18.262135,38.659286,46.361454,24.948444,2.3668134
2024-03-23,579.57043,15.254751,21.344307,48.733795,20.11278,2.0119352
2024-03-24,568.4217,13.460343,18.410328,45.327244,14.878975,1.5233535
2024-03-25,553.2984,12.762363,21.749382,47.869892,18.838697,1.585441
2024-03-26,552.2894,13.288503,23.508749,48.670807,19.365591,1.5839756
2024-03-27,569.21857,13.099728,22.687227,49.76263,20.29648,1.4596819
2024-03-28,574.8867,14.794475,22.8646,50.08174,19.539843,1.5978757
2024-03-29,566.90607,16.643833,25.164797,52.186283,18.844706,1.6252837
2024-03-30,537.3789,14.036408,17.220205,55.157955,16.914812,1.5407722
2024-03-31,511.97906,14.808476,18.955252,42.497597,17.46812,1.5701792
2024-04-01,595.39954,17.990677,26.575392,51.70259,18.021181,1.9554704
2024-04-02,607.1173,17.739042,26.319166,53.318848,20.011787,1.9637505
2024-04-03,621.33057,18.241112,26.722961,51.729122,19.870407,2.0059655
2024-04-04,644.21564,17.151905,25.695831,53.12355,19.748882,1.684493
2024-04-05,671.7432,17.764719,26.926874,52.19641,19.839705,1.6247116
2024-04-06,590.2158,13.572361,24.286768,50.902035,16.306683,1.4904795
2024-04-07,602.4435,12.920602,21.254715,50.280872,11.349385,1.5566795
2024-04-08,631.2696,15.730778,25.513731,50.50884,14.815165,1.6072469
2024-04-09,633.12537,15.901313,23.895191,51.350727,14.837688,1.6140947
2024-04-10,634.9813,16.50872,23.408226,53.03795,16.203459,1.6046361
2024-04-11,614.6401,16.337542,23.330969,52.540066,17.471962,1.6945344
2024-04-12,617.5207,16.78829,23.26963,53.512924,17.10385,1.5550025
2024-04-13,617.7946,15.044899,22.003672,54.119385,14.823369,1.4361547
2024-04-14,621.6284,16.314074,20.371407,54.74333,14.37153,1.6024532
2024-04-15,634.3572,16.877695,22.086725,52.931583,16.614368,1.8365574
2024-04-16,629.9613,15.333742,21.406416,54.32273,16.839733,1.669741
2024-04-17,626.3482,15.749384,22.076832,54.96157,17.578758,1.6421263
2024-04-18,630.7487,17.445234,24.06696,55.30767,18.158688,1.4731351
2024-04-19,614.5307,16.85655,22.477278,55.85478,17.9994,1.7009221
2024-04-20,568.87897,14.440251,19.883747,57.14295,16.487394,1.626232
2024-04-21,556.9864,14.290128,21.1231,56.6767,15.845764,1.5868293
2024-04-22,586.3225,16.557802,25.896137,55.74253,17.927309,1.598532
2024-04-23,596.5083,17.902472,19.751905,55.246567,19.506668,1.5737429
2024-04-24,595.143,17.22618,20.87288,55.05348,18.640163,1.4699495
2024-04-25,566.8613,13.302732,17.891254,54.83568,20.101812,1.5316528
2024-04-26,555.37805,14.21256,17.49916,56.736813,19.82301,1.5375208
2024-04-27,490.2431,10.254762,14.944373,61.39562,16.856102,1.4010452
2024-04-28,496.27484,10.402361,14.562032,57.98104,14.730463,1.5109752
2024-04-29,509.85947,13.006112,15.59985,56.55781,13.652993,1.5716686
2024-04-30,521.2377,13.375527,14.959509,56.66693,15.344941,1.6665505
2024-05-01,546.6433,10.928498,15.024379,63.005356,14.4853945,1.4999142
2024-05-02,575.27997,11.973219,18.54301,60.849266,18.357723,1.6115824
2024-05-03,564.0666,13.238016,19.260183,60.05939,19.14632,1.6194487
2024-05-04,525.98724,9.9543085,13.679404,58.75151,16.277555,1.5060798
2024-05-05,506.95544,7.5434303,10.03873,61.28407,11.221823,1.5210733
2024-05-06,518.0058,10.907,15.754213,60.270092,14.724506,1.5657952
2024-05-07,514.87897,10.330176,14.107699,60.85111,14.527484,1.6106228
2024-05-08,524.77625,10.334447,13.828051,61.945866,13.91273,1.5736781
2024-05-09,541.2292,10.756168,16.059105,60.44909,14.923383,1.6265725
2024-05-10,535.28827,10.888294,15.175108,62.851482,15.187638,1.6623534
2024-05-11,501.38684,10.515524,14.253846,64.5958,14.092696,1.4845935
2024-05-12,501.33527,11.347919,14.623008,65.0921,12.821422,1.521644
2024-05-13,509.2472,10.780633,15.072034,60.295418,15.068048,1.7757322
2024-05-14,501.23575,10.830377,15.486933,58.922745,15.36362,1.7179468
2024-05-15,507.55234,11.651949,15.481626,57.83429,14.639847,1.4944142
2024-05-16,511.93185,10.911474,15.240959,60.02022,15.57445,1.4973018
2024-05-17,501.62274,10.6693535,14.733477,61.37072,15.39213,1.5739026
2024-05-18,488.62186,10.21442,14.914591,63.793266,14.550909,1.3667
2024-05-19,474.8745,10.28226,12.728539,63.724773,14.473038,1.5478289
2024-05-20,466.99786,10.900011,15.86616,63.59663,15.190951,1.6388178
2024-05-21,467.064,10.833488,18.68504,63.72577,17.657652,1.6890316
2024-05-22,468.84296,12.575567,20.424223,62.70083,17.323399,1.4183085
2024-05-23,466.38324,12.129563,13.641103,62.681534,17.403612,1.4208865
2024-05-24,443.6882,11.64783,13.135447,63.80487,16.026682,1.4426885
2024-05-25,402.93265,7.6605325,10.977508,66.05716,15.735405,1.3644915
2024-05-26,403.10034,7.2207747,10.29476,67.53954,13.131012,1.3985794
2024-05-27,409.7874,8.380602,11.736698,66.031815,14.846797,1.4580941
2024-05-28,411.6263,9.479263,12.938932,67.58651,14.714122,1.5493754
2024-05-29,446.17136,11.354699,14.241137,66.353935,15.671563,1.387059
2024-05-30,447.6593,11.123651,13.5827465,67.4989,16.080816,1.4121099
2024-05-31,428.3861,10.756326,14.183361,69.69327,16.680948,1.4186765
