Date;"CO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)";"SO2 (ug/m3)"
"Limit values";10000;100;;-;250
"2020-01-01 00:00:00";508;23,4;46,0;39;3,6
"2020-01-01 01:00:00";523;24,4;47,5;69;3,7
"2020-01-01 02:00:00";548;23,9;45,8;45;3,2
"2020-01-01 03:00:00";538;22,9;45,0;52;2,8
"2020-01-01 04:00:00";558;25,2;58,2;46;2,6
"2020-01-01 05:00:00";581;27,0;85,6;47;3,5
"2020-01-01 06:00:00";623;25,6;95,1;46;2,8
"2020-01-01 07:00:00";664;29,5;113,4;44;3,4
"2020-01-01 08:00:00";649;25,7;86,8;43;3,4
"2020-01-01 09:00:00";657;21,1;62,7;44;3,8
"2020-01-01 10:00:00";688;19,2;51,6;40;4,1
"2020-01-01 11:00:00";720;24,5;60,8;46;3,4
"2020-01-01 12:00:00";678;29,7;63,5;52;3,3
"2020-01-01 13:00:00";572;31,6;56,3;57;3,5
"2020-01-01 14:00:00";511;33,4;51,3;47;2,8
"2020-01-01 15:00:00";508;34,2;48,5;42;2,7
"2020-01-01 16:00:00";672;43,7;75,9;56;2,9
"2020-01-01 17:00:00";1531;69,8;429,5;76;4,6
"2020-01-01 18:00:00";2087;77,3;619,3;100;6,0
"2020-01-01 19:00:00";2375;76,3;649,8;102;6,5
"2020-01-01 20:00:00";1598;54,4;347,7;81;4,5
"2020-01-01 21:00:00";1418;47,6;296,5;69;4,2
"2020-01-01 22:00:00";1358;44,1;230,7;83;3,9
"2020-01-01 23:00:00";1210;46,1;202,1;93;3,2
"2020-01-02 00:00:00";1064;38,1;131,5;88;3,0
"2020-01-02 01:00:00";975;28,7;62,4;70;2,6
"2020-01-02 02:00:00";753;18,3;29,8;68;1,8
"2020-01-02 03:00:00";621;15,1;24,3;32;2,2
"2020-01-02 04:00:00";603;11,7;16,8;23;2,1
"2020-01-02 05:00:00";552;14,8;25,3;22;2,8
"2020-01-02 06:00:00";519;22,2;53,7;19;3,1
"2020-01-02 07:00:00";543;27,8;70,0;21;2,5
"2020-01-02 08:00:00";586;33,6;89,4;22;3,0
"2020-01-02 09:00:00";594;32,8;83,3;26;3,2
"2020-01-02 10:00:00";568;31,5;76,3;28;2,7
"2020-01-02 11:00:00";538;34,6;94,1;23;3,0
