Date;"CO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)";"SO2 (ug/m3)"
"Limit values";-;85;;50;125
"2020-01-01 00:00:00";930;37,3;164,8;61;3,7
"2020-01-02 00:00:00";530;29,5;64,2;27;2,5
"2020-01-03 00:00:00";451;33,0;60,5;22;2,2
"2020-01-04 00:00:00";530;25,4;66,3;27;2,5
"2020-01-05 00:00:00";322;19,6;31,0;16;1,9
"2020-01-06 00:00:00";682;40,9;99,1;34;2,7
"2020-01-07 00:00:00";948;55,2;144,2;51;3,1
"2020-01-08 00:00:00";1030;52,8;133,5;56;3,2
"2020-01-09 00:00:00";763;37,2;85,7;43;2,7
"2020-01-10 00:00:00";891;48,4;119,2;54;2,3
"2020-01-11 00:00:00";626;30,4;55,2;32;1,9
"2020-01-12 00:00:00";674;25,0;46,7;22;1,8
"2020-01-13 00:00:00";757;38,0;90,2;29;2,3
"2020-01-14 00:00:00";681;35,4;80,5;35;4,4
"2020-01-15 00:00:00";686;33,7;71,1;32;3,5
"2020-01-16 00:00:00";873;32,4;83,6;43;2,7
"2020-01-17 00:00:00";888;34,2;82,4;45;2,3
"2020-01-18 00:00:00";671;33,6;54,9;30;2,4
"2020-01-19 00:00:00";530;26,9;39,2;37;2,2
"2020-01-20 00:00:00";662;34,4;59,8;36;1,9
"2020-01-21 00:00:00";737;35,6;125,9;36;2,2
"2020-01-22 00:00:00";532;40,5;98,7;29;2,0
"2020-01-23 00:00:00";710;41,8;135,8;39;2,8
"2020-01-24 00:00:00";903;44,7;149,2;44;2,6
"2020-01-25 00:00:00";593;29,9;51,9;47;2,5
"2020-01-26 00:00:00";604;21,5;29,0;38;1,8
"2020-01-27 00:00:00";666;29,7;63,3;48;1,9
"2020-01-28 00:00:00";553;41,8;99,0;23;3,0
"2020-01-29 00:00:00";403;40,0;71,6;12;1,7
"2020-01-30 00:00:00";364;46,7;96,5;15;1,6
"2020-01-31 00:00:00";862;47,3;180,9;32;3,4
"2020-02-01 00:00:00";344;38,9;80,0;14;2,1
"2020-02-02 00:00:00";181;27,4;37,8;9;1,4
"2020-02-03 00:00:00";212;31,5;45,0;7;1,6
"2020-02-04 00:00:00";254;29,9;52,9;8;1,8
"2020-02-05 00:00:00";309;12,0;14,3;6;1,8
"2020-02-06 00:00:00";466;32,1;52,5;20;2,5
"2020-02-07 00:00:00";;20,6;30,2;11;2,1
"2020-02-08 00:00:00";;35,6;74,6;28;3,7
"2020-02-09 00:00:00";;46,4;94,9;45;4,2
"2020-02-10 00:00:00";;29,9;65,2;21;7,1
"2020-02-11 00:00:00";;27,4;56,4;9;1,5
"2020-02-12 00:00:00";;17,8;34,2;10;1,7
"2020-02-13 00:00:00";;29,0;65,7;15;2,1
"2020-02-14 00:00:00";;31,9;69,6;17;1,9
"2020-02-15 00:00:00";;39,7;142,1;35;2,5
"2020-02-16 00:00:00";;46,7;127,1;41;2,7
"2020-02-17 00:00:00";;54,9;127,3;45;4,3
"2020-02-18 00:00:00";;33,8;65,8;34;2,1
"2020-02-19 00:00:00";;38,2;123,8;20;2,2
"2020-02-20 00:00:00";;31,4;73,7;17;1,6
"2020-02-21 00:00:00";;39,0;95,6;27;2,4
"2020-02-22 00:00:00";;33,3;70,7;23;2,1
"2020-02-23 00:00:00";;23,8;42,6;18;2,3
"2020-02-24 00:00:00";;18,4;32,0;10;1,0
"2020-02-25 00:00:00";;38,6;94,1;24;4,0
"2020-02-26 00:00:00";;30,6;71,2;16;1,6
"2020-02-27 00:00:00";;27,4;53,7;12;1,3
"2020-02-28 00:00:00";;27,9;54,8;13;2,6
"2020-02-29 00:00:00";;28,8;64,1;20;2,2
"2020-03-01 00:00:00";;19,0;33,8;16;3,8
"2020-03-02 00:00:00";;29,5;60,6;16;1,5
"2020-03-03 00:00:00";;42,2;93,0;23;2,5
"2020-03-04 00:00:00";;22,7;35,0;10;1,8
"2020-03-05 00:00:00";;37,5;88,0;32;2,8
"2020-03-06 00:00:00";;34,8;76,5;23;2,3
"2020-03-07 00:00:00";;31,6;58,4;16;2,1
"2020-03-08 00:00:00";;14,6;21,9;15;1,4
"2020-03-09 00:00:00";;35,7;61,4;27;2,1
"2020-03-10 00:00:00";;35,3;62,1;27;1,9
"2020-03-11 00:00:00";;45,1;108,1;21;1,5
"2020-03-12 00:00:00";;40,5;95,3;23;2,4
"2020-03-13 00:00:00";;37,1;70,9;21;2,1
"2020-03-14 00:00:00";;20,0;55,0;16;1,7
"2020-03-15 00:00:00";;10,8;16,1;13;2,0
"2020-03-16 00:00:00";;46,2;101,7;38;3,5
"2020-03-17 00:00:00";;40,4;83,3;42;4,2
"2020-03-18 00:00:00";;63,9;204,2;75;4,3
"2020-03-19 00:00:00";;62,9;194,2;69;3,1
"2020-03-20 00:00:00";;62,1;178,8;70;3,3
"2020-03-21 00:00:00";;23,4;43,2;36;1,5
"2020-03-22 00:00:00";;5,1;9,0;11;1,3
"2020-03-23 00:00:00";;10,4;20,5;12;1,9
"2020-03-24 00:00:00";;8,0;17,4;15;1,1
"2020-03-25 00:00:00";;13,6;30,2;19;1,2
"2020-03-26 00:00:00";;12,0;32,8;60;0,9
"2020-03-27 00:00:00";;23,7;48,3;31;1,3
