Date,CO,NO2,NOx,O3,PM10,PM2.5,SO2
2021-03-25 00:00:00,550,26.5,39.9,"54,5",28.0,21,2.4
2021-03-26 00:00:00,647,27.6,43.4,"42,9",42.0,35,2.9
2021-03-27 00:00:00,520,16.5,18.8,"70,7",32.0,31,2.7
2021-03-28 00:00:00,497,14.3,16.9,"66,6",17.0,17,2.1
2021-03-29 00:00:00,489,19.6,24.2,"61,5",18.0,17,2.1
2021-03-30 00:00:00,498,19.3,24.3,"65,8",25.0,17,2.3
2021-03-31 00:00:00,645,25.7,38.1,"41,5",34.0,22,3.2
2021-04-01 00:00:00,487,13.0,16.6,"59,6",23.0,23,2.5
2021-04-02 00:00:00,399,11.4,13.2,"69,7",10.0,11,2.1
2021-04-03 00:00:00,374,11.3,13.2,"68,4",11.0,12,2.3
2021-04-04 00:00:00,367,10.8,12.8,"65,8",9.0,10,1.9
2021-04-05 00:00:00,385,9.1,11.5,"60,6",12.0,10,2.5
2021-04-06 00:00:00,418,13.5,16.1,"55,1",13.0,13,2.3
2021-04-07 00:00:00,461,18.2,25.7,"50,8",14.0,16,2.3
2021-04-08 00:00:00,464,16.2,24.0,"44,7",11.0,11,2.1
2021-04-09 00:00:00,513,13.6,24.7,"54,2",14.0,17,2.2
2021-04-10 00:00:00,413,10.4,12.2,"81,4",18.0,10,3.1
2021-04-11 00:00:00,427,13.6,15.7,"79,9",22.0,15,6.2
2021-04-12 00:00:00,419,13.8,15.6,"74,4",27.0,15,5.2
2021-04-13 00:00:00,417,14.2,17.8,"51,2",13.0,12,2.2
2021-04-14 00:00:00,374,12.1,14.2,"66,3",6.0,5,1.8
2021-04-15 00:00:00,415,14.5,16.9,"59,8",7.0,9,1.9
2021-04-16 00:00:00,410,11.1,13.5,"47,1",9.0,12,1.9
2021-04-17 00:00:00,401,13.0,15.5,"60,5",11.0,12,1.9
2021-04-18 00:00:00,482,12.1,14.1,"55,4",14.0,16,2.1
2021-04-19 00:00:00,366,15.4,17.2,"52,7",13.0,13,3.3
2021-04-20 00:00:00,356,,,"46,3",,16,2.3
2021-04-21 00:00:00,327,,,"69,2",,11,2.2
2021-04-22 00:00:00,303,12.1,15.8,"82,1",,12,2.4
2021-04-23 00:00:00,291,13.8,15.7,"72,4",20.0,11,2.8
2021-04-24 00:00:00,390,19.7,22.7,"65,7",26.0,14,2.5
2021-04-25 00:00:00,320,13.7,15.9,"71,1",20.0,19,2.4
2021-04-26 00:00:00,284,13.6,15.4,"73,6",13.0,9,2.4
2021-04-27 00:00:00,316,18.7,21.5,"73,4",18.0,12,2.3
2021-04-28 00:00:00,380,15.8,18.5,"65,5",24.0,13,2.4
2021-04-29 00:00:00,332,9.0,11.9,"61,4",14.0,10,2.9
2021-04-30 00:00:00,440,16.5,29.7,"49,7",21.0,11,2.7
2021-05-01 00:00:00,337,9.8,14.1,"58,1",13.0,14,2.5
2021-05-02 00:00:00,267,6.1,9.6,"66,2",16.0,10,2.5
2021-05-03 00:00:00,244,9.9,11.5,"70,5",10.0,8,2.4
2021-05-04 00:00:00,238,11.8,14.3,"76,4",15.0,8,2.4
2021-05-05 00:00:00,212,8.4,12.0,"85,7",19.0,8,2.2
2021-05-06 00:00:00,203,7.7,9.7,"69,5",10.0,7,2.7
2021-05-07 00:00:00,239,8.9,11.4,"57,7",11.0,7,3.0
2021-05-08 00:00:00,217,10.2,11.9,"74,2",9.0,8,2.4
2021-05-09 00:00:00,253,12.4,15.0,"72,8",14.0,9,2.4
2021-05-10 00:00:00,290,19.2,23.8,,18.0,11,2.8
2021-05-11 00:00:00,340,22.6,32.6,"62,4",23.0,11,2.9
2021-05-12 00:00:00,310,16.0,23.1,,25.0,12,3.3
2021-05-13 00:00:00,272,4.3,6.8,,8.0,6,2.2
2021-05-14 00:00:00,265,8.2,10.8,"62,4",8.0,6,2.2
2021-05-15 00:00:00,257,7.4,11.1,"74,5",10.0,6,2.3
2021-05-16 00:00:00,269,6.9,9.7,"55,8",9.0,8,2.3
2021-05-17 00:00:00,268,7.7,11.4,"58,7",9.0,7,2.9
2021-05-18 00:00:00,338,10.6,13.0,"54,7",8.0,6,2.4
2021-05-19 00:00:00,287,8.5,13.6,"62,6",11.0,6,2.4
2021-05-20 00:00:00,261,13.5,18.3,"73,2",12.0,7,2.5
2021-05-21 00:00:00,260,10.8,17.1,"85,0",14.0,8,2.6
2021-05-22 00:00:00,265,7.7,13.5,"76,0",13.0,8,3.2
2021-05-23 00:00:00,285,11.9,18.6,"55,7",10.0,8,2.5
2021-05-24 00:00:00,267,6.5,12.7,"65,3",9.0,7,2.5
2021-05-25 00:00:00,262,7.8,15.1,"70,6",18.0,9,4.3
2021-05-26 00:00:00,223,14.3,21.1,"61,3",13.0,7,2.6
2021-05-27 00:00:00,247,15.8,31.1,"68,8",16.0,7,3.7
2021-05-28 00:00:00,216,9.8,17.1,"80,3",16.0,8,2.8
2021-05-29 00:00:00,257,10.5,16.0,"66,5",13.0,8,3.0
2021-05-30 00:00:00,239,8.0,13.5,"62,3",9.0,7,2.5
2021-05-31 00:00:00,244,14.9,19.9,"49,0",10.0,6,2.5
2021-06-01 00:00:00,184,10.8,15.1,"61,7",15.0,8,3.8
2021-06-02 00:00:00,180,12.6,17.4,"67,5",16.0,11,3.4
2021-06-03 00:00:00,244,18.3,35.9,"62,9",21.0,8,2.9
2021-06-04 00:00:00,239,21.9,31.5,"67,1",25.0,14,2.8
2021-06-05 00:00:00,216,8.6,12.7,"70,5",24.0,14,2.7
2021-06-06 00:00:00,203,12.1,16.9,"73,3",14.0,10,2.4
2021-06-07 00:00:00,218,15.5,20.6,"67,9",17.0,11,2.7
2021-06-08 00:00:00,251,15.5,23.7,"81,6",20.0,11,2.7
2021-06-09 00:00:00,226,10.8,19.8,"93,9",21.0,13,2.8
2021-06-10 00:00:00,225,11.8,21.7,"85,2",20.0,11,2.8
2021-06-11 00:00:00,251,10.4,20.2,"89,9",19.0,10,2.9
2021-06-12 00:00:00,255,7.2,16.3,"88,1",18.0,9,3.1
2021-06-13 00:00:00,220,4.5,13.1,"71,5",12.0,8,2.7
2021-06-14 00:00:00,201,8.4,16.3,"56,3",17.0,9,2.9
2021-06-15 00:00:00,202,9.0,17.9,"66,6",13.0,6,2.7
2021-06-16 00:00:00,198,10.4,18.8,"77,6",16.0,7,2.8
2021-06-17 00:00:00,216,10.8,18.8,"70,3",22.0,11,2.9
2021-06-18 00:00:00,224,11.1,18.8,"82,5",20.0,11,2.8
2021-06-19 00:00:00,217,6.6,13.6,"80,3",17.0,8,2.7
2021-06-20 00:00:00,218,6.0,12.6,"72,6",13.0,7,2.6
2021-06-21 00:00:00,233,7.7,14.5,"74,4",24.0,11,2.9
2021-06-22 00:00:00,227,8.5,15.1,"78,9",40.0,16,3.3
2021-06-23 00:00:00,228,9.7,16.2,"82,1",51.0,22,3.1
2021-06-24 00:00:00,213,11.4,17.8,"82,9",37.0,18,2.9
2021-06-25 00:00:00,194,6.7,13.5,"81,8",42.0,21,3.7
2021-06-26 00:00:00,168,9.0,17.6,"74,8",15.0,11,2.7
2021-06-27 00:00:00,147,9.1,15.1,"76,6",13.0,7,2.8
2021-06-28 00:00:00,225,10.9,17.0,"78,3",19.0,10,3.1
2021-06-29 00:00:00,245,7.5,13.4,"86,4",19.0,10,2.9
2021-06-30 00:00:00,246,7.6,13.1,"89,2",32.0,13,3.6
2021-07-01 00:00:00,224,7.7,13.1,"76,7",16.0,9,2.9
2021-07-02 00:00:00,222,9.3,16.1,"64,8",14.0,8,2.7
2021-07-03 00:00:00,223,6.4,12.1,"66,6",14.0,6,2.7
2021-07-04 00:00:00,218,9.2,15.4,"66,6",17.0,9,2.9
2021-07-05 00:00:00,251,15.8,21.1,"65,1",20.0,11,2.8
2021-07-06 00:00:00,264,13.3,19.2,"77,4",21.0,13,2.9
2021-07-07 00:00:00,283,14.9,20.5,"83,7",25.0,14,2.9
2021-07-08 00:00:00,252,9.2,14.5,"73,5",25.0,15,2.7
