Date,Station1_CO,Station1_NO2,Station1_NOx,Station1_PM10,Station1_SO2,Station2_CO,Station2_NO2,Station2_NOx,Station2_O3,Station2_PM10,Station2_SO2,Year,Month,Day,WeekDay,Season
2014-02-13,967.0,40.3,113.1,33.0,4.460000000000001,511.0,19.7,34.7,36.8,18.0,3.2,2014,2,13,Thursday,Winter
2014-02-14,797.0,33.0,68.0,29.0,6.1,490.0,22.9,28.7,36.6,19.0,4.2,2014,2,14,Friday,Winter
2014-02-15,1047.0,36.2,71.3,42.0,5.279999999999999,868.0,24.0,35.5,38.1,33.0,5.6,2014,2,15,Saturday,Winter
2014-02-16,1239.0,37.3,97.8,49.0,8.32,1116.0,22.6,50.9,52.5,45.0,7.7,2014,2,16,Sunday,Winter
2014-02-17,833.0,33.0,53.5,21.0,5.1,578.0,32.6,42.8,34.3,15.0,4.6,2014,2,17,Monday,Winter
2014-02-18,1075.0,45.5,113.3,40.0,5.28,760.0,25.4,48.0,39.2,29.0,7.5,2014,2,18,Tuesday,Winter
2014-02-19,1040.0,42.4,97.0,53.0,7.92,848.0,28.6,46.3,31.9,43.0,11.3,2014,2,19,Wednesday,Winter
2014-02-20,1308.0,40.5,112.3,55.0,4.82,1100.0,34.0,84.1,33.3,40.0,6.3,2014,2,20,Thursday,Winter
2014-02-21,778.0,33.0,73.0,51.0,13.7,1109.0,34.2,58.2,23.4,40.0,5.9,2014,2,21,Friday,Winter
2014-02-22,720.0,33.8,80.1,40.0,13.8,945.0,27.2,47.4,24.0,32.0,9.1,2014,2,22,Saturday,Winter
2014-02-23,322.0,13.4,19.8,20.0,11.9,564.0,16.5,22.4,47.6,16.0,5.7,2014,2,23,Sunday,Winter
2014-02-24,514.0,28.9,73.8,31.0,11.3,788.0,24.0,46.2,32.3,28.0,4.3,2014,2,24,Monday,Winter
2014-02-25,702.0,39.0,126.2,52.0,14.7,872.0,21.5,41.9,23.4,36.0,10.4,2014,2,25,Tuesday,Winter
2014-02-26,766.0,39.7,91.0,51.0,16.1,926.0,25.3,43.2,34.7,40.0,10.7,2014,2,26,Wednesday,Winter
2014-02-27,1073.0,48.4,127.1,75.0,12.0,1091.0,41.2,66.1,24.7,58.0,6.1,2014,2,27,Thursday,Winter
2014-02-28,720.0,48.9,102.8,53.0,13.5,710.0,26.3,35.1,47.1,43.0,11.8,2014,2,28,Friday,Winter
2014-03-01,740.0,38.8,68.1,45.0,14.6,644.0,21.6,28.0,62.5,36.0,12.9,2014,3,1,Saturday,Spring
2014-03-02,497.0,14.9,21.7,28.0,7.3,523.0,24.6,36.6,59.5,24.0,4.6,2014,3,2,Sunday,Spring
2014-03-03,579.0,34.4,69.7,28.0,6.9,490.0,26.1,32.6,45.3,19.0,6.3,2014,3,3,Monday,Spring
2014-03-04,607.0,28.7,64.2,23.0,4.7,551.0,25.5,35.1,37.9,20.0,3.9,2014,3,4,Tuesday,Spring
2014-03-05,508.0,15.2,32.8,20.0,4.6,464.0,17.1,29.2,28.4,18.0,4.2,2014,3,5,Wednesday,Spring
2014-03-06,447.0,13.0,27.8,17.0,8.1,560.0,14.7,24.1,30.9,17.0,4.1,2014,3,6,Thursday,Spring
2014-03-07,451.0,19.3,39.6,17.0,11.8,906.0,20.1,31.3,28.0,17.0,3.9,2014,3,7,Friday,Spring
2014-03-08,391.0,15.1,24.6,20.0,10.8,866.0,15.8,22.7,39.4,20.0,3.5,2014,3,8,Saturday,Spring
2014-03-09,349.0,11.4,17.1,21.0,9.8,795.0,29.3,43.7,47.5,19.0,3.0,2014,3,9,Sunday,Spring
2014-03-10,802.0,42.7,87.6,44.0,10.9,1157.0,36.4,67.1,54.2,37.0,3.7,2014,3,10,Monday,Spring
2014-03-11,515.0,34.2,50.1,35.0,9.3,1011.0,34.7,53.1,64.7,35.0,4.5,2014,3,11,Tuesday,Spring
2014-03-12,448.0,22.9,32.9,39.0,9.9,877.0,19.9,24.8,80.2,37.0,6.0,2014,3,12,Wednesday,Spring
2014-03-13,673.0,41.6,97.7,39.0,9.2,1078.0,31.7,57.9,65.4,38.0,4.6,2014,3,13,Thursday,Spring
2014-03-14,1065.0,76.3,167.5,78.0,10.0,1234.0,34.8,52.7,68.7,57.0,5.5,2014,3,14,Friday,Spring
2014-03-15,457.0,20.9,29.3,40.0,6.5,828.0,11.2,14.2,72.9,29.0,3.8,2014,3,15,Saturday,Spring
2014-03-16,345.0,12.5,20.2,10.0,5.4,730.0,8.2,11.9,48.0,7.0,2.7,2014,3,16,Sunday,Spring
2014-03-17,387.0,20.8,44.9,16.0,4.0,671.0,10.8,15.1,56.1,8.0,2.1,2014,3,17,Monday,Spring
2014-03-18,551.0,43.0,107.4,47.0,4.2,640.0,15.1,21.7,48.7,18.0,3.1,2014,3,18,Tuesday,Spring
2014-03-19,668.0,39.1,92.1,72.0,3.8,638.0,18.4,22.9,47.5,19.0,3.3,2014,3,19,Wednesday,Spring
2014-03-20,550.0,41.2,101.5,81.0,4.3,619.0,13.4,17.6,49.7,15.0,4.0,2014,3,20,Thursday,Spring
2014-03-21,591.0,58.9,137.2,102.0,6.8,484.8,23.9,62.14,,98.0,5.5200000000000005,2014,3,21,Friday,Spring
2014-03-22,526.0,40.8,67.8,68.0,7.0,452.0,13.9,18.0,72.8,24.0,7.4,2014,3,22,Saturday,Spring
2014-03-23,480.0,28.8,44.8,40.0,7.5,444.0,10.6,13.7,72.7,27.0,9.2,2014,3,23,Sunday,Spring
2014-03-24,479.0,33.8,72.0,30.0,4.6,450.0,11.2,14.6,58.1,13.0,4.8,2014,3,24,Monday,Spring
2014-03-25,818.0,43.2,121.5,86.0,5.3,811.0,19.0,37.9,40.1,27.0,4.2,2014,3,25,Tuesday,Spring
2014-03-26,797.0,37.0,67.5,70.0,5.1,808.0,36.4,59.9,41.1,27.0,6.1,2014,3,26,Wednesday,Spring
2014-03-27,482.0,23.1,38.6,52.0,3.3,486.0,20.8,26.9,56.8,18.0,4.9,2014,3,27,Thursday,Spring
2014-03-28,316.0,20.8,35.4,45.0,4.4,460.0,21.3,30.6,62.8,24.0,5.0,2014,3,28,Friday,Spring
2014-03-29,257.0,20.2,28.9,43.0,5.4,447.0,18.6,23.8,84.3,29.0,5.7,2014,3,29,Saturday,Spring
2014-03-30,421.0,39.9,82.6,40.0,5.5,598.0,25.4,40.9,72.9,39.0,5.8,2014,3,30,Sunday,Spring
2014-03-31,800.0,72.4,184.2,81.0,5.8,949.0,37.2,75.3,57.5,54.0,6.0,2014,3,31,Monday,Spring
2014-04-01,412.0,39.9,62.3,44.0,4.1,312.8,22.660000000000004,29.340000000000003,,37.2,4.72,2014,4,1,Tuesday,Spring
2014-04-02,439.0,34.9,51.1,43.0,4.5,631.0,44.2,61.9,69.9,40.0,6.2,2014,4,2,Wednesday,Spring
2014-04-03,482.0,62.1,127.4,53.0,6.4,409.4,32.62,52.67999999999999,,40.4,3.56,2014,4,3,Thursday,Spring
2014-04-04,454.0,45.3,94.5,51.0,4.2,659.0,25.2,31.8,55.4,40.0,7.4,2014,4,4,Friday,Spring
2014-04-05,342.0,22.8,32.4,36.0,3.2,643.0,32.0,43.9,69.7,31.0,6.4,2014,4,5,Saturday,Spring
2014-04-06,428.0,29.6,51.9,20.0,2.7,531.0,11.2,13.9,58.5,17.0,4.6,2014,4,6,Sunday,Spring
2014-04-07,601.0,42.6,108.3,34.0,3.7,761.0,24.5,42.2,57.9,27.0,5.1,2014,4,7,Monday,Spring
2014-04-08,771.0,73.9,161.4,54.0,4.0,889.0,21.0,40.6,67.5,35.0,5.2,2014,4,8,Tuesday,Spring
2014-04-09,464.0,40.4,79.6,19.0,3.6,613.0,21.8,29.3,49.0,19.0,4.2,2014,4,9,Wednesday,Spring
2014-04-10,476.0,35.5,88.7,20.0,5.2,606.0,18.4,34.0,56.7,13.0,4.0,2014,4,10,Thursday,Spring
2014-04-11,190.0,21.8,38.8,14.0,5.0,537.0,18.4,24.5,54.5,14.0,4.4,2014,4,11,Friday,Spring
2014-04-12,256.0,19.1,29.5,16.0,5.1,504.0,16.7,24.1,47.9,16.0,5.0,2014,4,12,Saturday,Spring
2014-04-13,437.0,36.7,69.8,28.0,5.5,653.0,21.0,32.6,47.4,24.0,5.6,2014,4,13,Sunday,Spring
2014-04-14,308.0,39.2,72.7,25.0,4.6,480.0,19.4,25.0,62.4,18.0,5.2,2014,4,14,Monday,Spring
2014-04-15,278.0,28.9,48.5,13.0,4.1,504.0,23.9,30.4,55.4,13.0,4.1,2014,4,15,Tuesday,Spring
2014-04-16,249.0,17.4,29.1,31.0,4.3,466.0,15.1,21.2,58.9,38.0,4.4,2014,4,16,Wednesday,Spring
2014-04-17,236.0,17.5,28.4,22.0,4.3,513.0,22.9,32.1,62.2,25.0,4.6,2014,4,17,Thursday,Spring
2014-04-18,312.0,26.9,38.5,23.0,3.8,595.0,36.2,54.5,62.8,24.0,4.7,2014,4,18,Friday,Spring
2014-04-19,275.0,18.7,25.8,23.0,3.6,544.0,15.5,20.0,83.3,24.0,4.8,2014,4,19,Saturday,Spring
2014-04-20,337.0,20.6,30.9,12.0,3.7,499.0,9.7,12.8,78.3,10.0,4.2,2014,4,20,Sunday,Spring
2014-04-21,388.0,22.6,32.3,13.0,3.9,570.0,12.4,15.1,68.1,12.0,5.1,2014,4,21,Monday,Spring
2014-04-22,438.0,43.0,77.0,22.0,4.0,515.0,19.8,28.4,55.7,18.0,5.1,2014,4,22,Tuesday,Spring
2014-04-23,400.0,35.7,62.2,22.0,3.7,488.0,22.4,30.0,57.2,16.0,3.9,2014,4,23,Wednesday,Spring
2014-04-24,365.0,28.9,45.5,19.0,3.2,508.0,18.3,26.1,54.9,16.0,3.7,2014,4,24,Thursday,Spring
2014-04-25,367.0,29.5,48.2,17.0,3.2,573.0,9.8,12.5,57.4,13.0,4.1,2014,4,25,Friday,Spring
2014-04-26,416.0,26.8,45.2,17.0,3.6,634.0,15.4,20.7,43.2,13.0,4.0,2014,4,26,Saturday,Spring
2014-04-27,379.0,16.1,25.3,22.0,3.3,692.0,12.0,14.9,51.0,18.0,4.7,2014,4,27,Sunday,Spring
2014-04-28,457.0,30.1,54.7,24.0,3.1,724.0,19.7,31.1,,20.0,4.9,2014,4,28,Monday,Spring
2014-04-29,542.0,41.9,78.6,24.0,3.2,758.0,25.6,32.6,49.8,19.0,4.7,2014,4,29,Tuesday,Spring
2014-04-30,576.0,46.7,82.3,24.0,3.1,750.0,26.8,33.6,60.9,18.0,4.0,2014,4,30,Wednesday,Spring
2014-05-01,570.0,40.1,62.7,23.0,3.0,806.0,18.8,23.1,,20.0,4.5,2014,5,1,Thursday,Spring
2014-05-02,522.0,33.7,51.1,22.0,2.7,748.0,17.1,24.8,67.6,17.0,4.3,2014,5,2,Friday,Spring
2014-05-03,495.0,19.7,28.5,20.0,3.1,705.0,14.0,18.1,67.7,16.0,7.9,2014,5,3,Saturday,Spring
2014-05-04,440.0,7.3,13.4,62.0,2.4,804.0,6.2,10.1,72.5,72.0,3.9,2014,5,4,Sunday,Spring
2014-05-05,489.0,19.8,28.3,22.0,2.7,761.0,12.7,16.8,88.3,19.0,4.3,2014,5,5,Monday,Spring
2014-05-06,648.0,52.0,88.0,25.0,3.1,748.0,16.1,19.9,82.7,18.0,4.5,2014,5,6,Tuesday,Spring
2014-05-07,585.0,42.2,63.3,26.0,3.3,692.0,12.0,15.4,75.8,19.0,6.5,2014,5,7,Wednesday,Spring
2014-05-08,488.0,55.8,105.5,17.0,3.0,708.0,9.9,12.9,69.8,11.0,4.3,2014,5,8,Thursday,Spring
