month,,CO (ug/m3),NO2 (ug/m3),NOx (ug/m3),O3 (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3),month
8,50%,322.5,11.6,16.4,62.9,19.0,10.0,2.6,8.0
8,75%,385.75,15.5,22.65,70.775,23.0,12.0,3.7,8.0
8,max,661.0,44.9,89.6,111.8,47.0,17.0,6.4,8.0
9,count,132.0,142.0,142.0,149.0,149.0,81.0,138.0,150.0
9,mean,334.20454545454544,16.069014084507042,23.111267605633802,50.96577181208053,18.55704697986577,9.666666666666666,2.552173913043478,9.0
9,std,100.85048555756384,7.037086993019054,11.567796449360474,13.808050784274078,7.737572905245818,3.3503731135501913,1.016952466882521,0.0
9,min,68.0,5.1,6.7,18.9,5.0,4.0,0.7,9.0
9,25%,280.75,11.2,15.2,41.2,13.0,7.0,2.1,9.0
9,50%,337.5,14.0,20.3,51.8,18.0,9.0,2.5,9.0
9,75%,403.0,19.625,28.575000000000003,62.6,23.0,12.0,2.8,9.0
9,max,593.0,41.8,68.1,80.3,40.0,24.0,7.1,9.0
10,count,150.0,153.0,153.0,153.0,151.0,91.0,151.0,155.0
10,mean,444.3,20.90326797385621,40.70718954248366,34.713725490196076,26.834437086092716,16.428571428571427,2.5973509933774834,10.0
10,std,179.1524696523895,10.00673074998611,30.907589564818192,12.854888783442467,17.482345557190413,9.111827304410287,1.329909621985271,0.0
10,min,99.0,6.0,7.2,8.4,4.0,4.0,0.6,10.0
10,25%,316.5,13.4,19.3,26.2,16.0,11.0,1.4,10.0
10,50%,411.0,19.0,32.2,33.2,22.0,14.0,2.6,10.0
10,75%,551.25,25.9,52.4,42.5,29.0,19.0,3.4,10.0
10,max,1091.0,50.4,179.5,69.2,106.0,52.0,7.3,10.0
11,count,149.0,149.0,149.0,149.0,149.0,87.0,133.0,150.0
11,mean,507.3288590604027,19.695302013422822,37.23154362416108,22.843624161073823,22.08053691275168,20.850574712643677,2.530075187969925,11.0
11,std,210.0658340485198,7.618046990007044,27.88056352732356,11.581137519094101,11.163112988842707,14.445993035514858,1.2095569538500335,0.0
11,min,210.0,5.8,7.5,1.9,7.0,5.0,0.5,11.0
11,25%,368.0,14.0,19.8,12.8,13.0,10.5,1.4,11.0
11,50%,469.0,18.6,27.4,21.5,20.0,16.0,2.4,11.0
11,75%,587.0,24.2,47.0,31.0,29.0,25.5,3.4,11.0
11,max,1353.0,45.9,179.3,53.5,59.0,78.0,7.4,11.0
12,count,154.0,142.0,142.0,153.0,133.0,84.0,123.0,155.0
12,mean,656.2467532467532,19.56338028169014,34.57535211267606,23.967973856209152,20.23308270676692,22.666666666666668,3.073983739837398,12.0
12,std,250.6486568334174,7.340922689925741,19.857328663447834,12.29743048468369,9.253899438553747,10.950417644379842,1.6544939991357062,0.0
12,min,265.0,6.5,10.9,2.4,4.0,6.0,0.9,12.0
12,25%,449.0,14.725,21.55,15.6,14.0,15.0,1.9,12.0
12,50%,596.0,18.65,29.05,21.2,19.0,21.0,3.0,12.0
12,75%,829.75,24.0,39.699999999999996,30.7,25.0,26.5,3.8,12.0
12,max,1520.0,47.3,108.8,72.0,65.0,62.0,12.0,12.0
