Date;"CO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"O3 (ug/m3)";"PM10 (ug/m3)";"PM2.5 (ug/m3)";"SO2 (ug/m3)"
"Limit values";-;85;;-;50;-;125
"2015-01-01 00:00:00";1312;14,1;27,1;27,5;60;;5,8
"2015-01-02 00:00:00";1096;12,7;16,3;43,7;62;;5,5
"2015-01-03 00:00:00";910;15,7;21,9;27,8;30;;4,6
"2015-01-04 00:00:00";678;19,0;26,2;35,6;8;;1,9
"2015-01-05 00:00:00";1069;32,6;76,6;31,9;29;;3,8
"2015-01-06 00:00:00";641;21,7;29,6;38,3;13;;3,9
"2015-01-07 00:00:00";951;37,9;55,2;34,3;33;;5,4
"2015-01-08 00:00:00";953;25,0;31,9;38,4;32;;6,5
"2015-01-09 00:00:00";763;13,6;19,3;37,7;32;;10,4
"2015-01-10 00:00:00";739;20,4;33,2;21,4;22;;3,3
"2015-01-11 00:00:00";537;15,1;19,2;41,7;13;;2,2
"2015-01-12 00:00:00";456;14,4;18,7;41,2;13;;2,3
"2015-01-13 00:00:00";669;18,6;24,2;35,3;24;;6,5
"2015-01-14 00:00:00";1585;44,7;138,1;19,1;64;;11,0
"2015-01-15 00:00:00";997;31,2;53,6;15,1;36;;5,0
"2015-01-16 00:00:00";893;35,3;51,0;16,4;38;;5,6
"2015-01-17 00:00:00";702;27,1;40,6;34,8;28;;8,4
"2015-01-18 00:00:00";966;21,7;43,1;28,6;39;;6,6
"2015-01-19 00:00:00";951;31,1;52,1;9,0;28;;2,9
"2015-01-20 00:00:00";838;21,2;31,8;11,4;24;;2,7
"2015-01-21 00:00:00";930;32,1;72,1;13,8;37;;4,1
"2015-01-22 00:00:00";910;28,0;46,2;15,5;35;;4,9
"2015-01-23 00:00:00";838;44,3;82,5;9,9;27;;1,9
"2015-01-24 00:00:00";804;20,3;40,0;8,8;14;;2,8
"2015-01-25 00:00:00";817;16,3;29,4;11,8;21;;2,9
"2015-01-26 00:00:00";812;24,1;36,5;23,7;28;;5,6
"2015-01-27 00:00:00";862;26,0;38,1;14,7;35;;4,0
"2015-01-28 00:00:00";921;33,9;63,5;15,3;40;;3,4
"2015-01-29 00:00:00";617;15,3;20,0;35,7;29;;7,2
"2015-01-30 00:00:00";392;10,7;12,9;53,8;13;;9,7
"2015-01-31 00:00:00";404;11,8;14,2;51,3;14;;3,2
"2015-02-01 00:00:00";1028;36,2;70,6;26,8;43;;2,7
"2015-02-02 00:00:00";854;25,2;59,1;14,5;41;;2,4
"2015-02-03 00:00:00";857;29,6;44,7;27,7;40;;2,6
"2015-02-04 00:00:00";727;33,0;49,3;24,3;29;;3,0
"2015-02-05 00:00:00";525;28,7;39,2;42,2;22;;3,7
"2015-02-06 00:00:00";383;23,8;37,5;48,7;20;;3,8
"2015-02-07 00:00:00";500;15,3;21,9;49,3;24;;4,7
"2015-02-08 00:00:00";450;11,6;14,6;49,7;23;;3,3
"2015-02-09 00:00:00";334;14,6;19,3;49,5;13;;2,5
"2015-02-10 00:00:00";563;26,6;34,4;26,9;25;;3,4
"2015-02-11 00:00:00";976;41,3;70,6;16,6;42;;4,7
"2015-02-12 00:00:00";;53,0;163,0;19,8;65;;5,6
"2015-02-13 00:00:00";1078;51,0;79,3;33,4;62;;7,7
"2015-02-14 00:00:00";977;45,4;57,0;42,4;63;;10,3
"2015-02-15 00:00:00";1050;46,7;67,8;39,7;61;;4,9
"2015-02-16 00:00:00";614;36,2;53,9;36,9;32;;4,6
"2015-02-17 00:00:00";298;13,4;16,4;57,6;17;;2,2
"2015-02-18 00:00:00";791;40,3;80,3;31,8;44;;5,9
"2015-02-19 00:00:00";615;21,7;33,1;30,7;43;;3,4
"2015-02-20 00:00:00";1087;32,5;68,1;40,4;70;;5,2
"2015-02-21 00:00:00";851;30,9;43,5;43,9;62;;19,0
"2015-02-22 00:00:00";738;31,3;37,0;45,3;52;;12,9
"2015-02-23 00:00:00";749;32,5;41,8;22,0;31;;5,2
"2015-02-24 00:00:00";582;26,2;41,1;38,8;31;;5,9
"2015-02-25 00:00:00";554;30,6;49,2;20,4;26;;4,1
"2015-02-26 00:00:00";542;24,1;35,4;21,5;17;;2,7
"2015-02-27 00:00:00";515;20,0;25,1;29,4;22;;2,2
"2015-02-28 00:00:00";506;19,1;23,5;39,9;24;;2,4
"2015-03-01 00:00:00";;;;;;;
"2015-03-02 00:00:00";534;9,4;11,8;50,2;;;4,6
"2015-03-03 00:00:00";349;17,1;19,6;47,9;;;1,6
"2015-03-04 00:00:00";412;18,7;24,4;47,9;16;;2,8
"2015-03-05 00:00:00";477;28,2;40,5;47,1;21;;3,7
"2015-03-06 00:00:00";381;16,4;21,6;55,3;17;;3,0
"2015-03-07 00:00:00";643;28,5;38,2;50,7;33;;6,0
"2015-03-08 00:00:00";920;42,3;93,7;38,2;46;;5,7
"2015-03-09 00:00:00";1091;47,9;95,2;34,3;63;;7,5
"2015-03-10 00:00:00";1189;31,8;83,7;48,9;70;;8,5
"2015-03-11 00:00:00";449;17,2;19,9;57,5;50;;8,3
"2015-03-12 00:00:00";387;15,6;18,7;52,9;25;;2,6
"2015-03-13 00:00:00";452;23,0;33,8;32,6;19;;2,8
"2015-03-14 00:00:00";660;17,6;29,6;27,8;20;;2,6
"2015-03-15 00:00:00";683;22,7;30,9;41,6;30;;2,9
"2015-03-16 00:00:00";495;21,0;26,4;59,0;26;;2,4
"2015-03-17 00:00:00";375;18,5;24,4;61,6;25;;2,5
"2015-03-18 00:00:00";327;13,9;17,8;71,8;19;;2,1
"2015-03-19 00:00:00";435;28,7;39,9;49,6;27;;4,0
"2015-03-20 00:00:00";506;34,7;53,5;37,9;30;;3,1
"2015-03-21 00:00:00";525;17,9;27,4;58,7;31;;5,0
"2015-03-22 00:00:00";475;16,8;21,4;54,1;35;;8,1
"2015-03-23 00:00:00";582;21,9;40,3;50,8;25;;2,9
"2015-03-24 00:00:00";969;39,5;73,3;42,0;65;;7,8
"2015-03-25 00:00:00";543;23,9;28,5;58,1;42;;4,9
"2015-03-26 00:00:00";606;30,5;41,8;51,7;49;;4,6
