Date;"CO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"O3 (ug/m3)";"PM10 (ug/m3)";"PM2.5 (ug/m3)";"SO2 (ug/m3)"
"Limit values";-;85;;-;50;-;125
"2016-01-01 00:00:00";2124;29,4;122,6;20,4;100;;9,4
"2016-01-02 00:00:00";1136;44,3;80,8;16,3;57;;6,6
"2016-01-03 00:00:00";705;27,8;43,0;32,9;23;;3,9
"2016-01-04 00:00:00";806;22,0;32,8;20,0;34;;7,6
"2016-01-05 00:00:00";875;22,8;32,1;19,0;44;;11,6
"2016-01-06 00:00:00";992;32,3;53,3;14,8;38;;8,1
"2016-01-07 00:00:00";821;29,4;39,5;20,8;20;;5,9
"2016-01-08 00:00:00";829;19,1;30,0;24,1;23;;7,5
"2016-01-09 00:00:00";977;31,3;42,2;19,5;28;;4,8
"2016-01-10 00:00:00";711;15,0;17,7;30,9;7;;6,2
"2016-01-11 00:00:00";750;18,1;24,4;32,4;12;;7,2
"2016-01-12 00:00:00";541;10,7;12,9;52,0;4;;5,4
"2016-01-13 00:00:00";534;14,4;17,6;39,3;5;;6,0
"2016-01-14 00:00:00";819;29,5;51,1;16,0;23;;8,6
"2016-01-15 00:00:00";663;27,2;44,9;13,9;21;;4,4
"2016-01-16 00:00:00";629;24,9;37,0;26,9;26;;4,0
"2016-01-17 00:00:00";409;13,2;17,6;58,8;14;;3,1
"2016-01-18 00:00:00";533;21,8;28,3;45,3;26;;4,3
"2016-01-19 00:00:00";685;30,2;63,2;29,2;36;;6,6
"2016-01-20 00:00:00";752;26,2;34,0;30,6;44;;12,7
"2016-01-21 00:00:00";1310;41,5;112,7;20,4;80;;7,3
"2016-01-22 00:00:00";1833;52,4;102,1;13,3;113;;6,8
"2016-01-23 00:00:00";1743;58,0;108,9;26,7;101;;8,3
"2016-01-24 00:00:00";866;25,3;30,6;43,3;46;;11,4
"2016-01-25 00:00:00";759;22,6;28,2;41,5;40;;12,9
"2016-01-26 00:00:00";878;29,2;40,6;17,5;51;;9,3
"2016-01-27 00:00:00";819;23,2;33,6;9,6;23;;6,8
"2016-01-28 00:00:00";906;24,8;37,5;12,8;35;;5,5
"2016-01-29 00:00:00";1086;30,7;66,1;3,2;36;;4,1
"2016-01-30 00:00:00";715;17,5;26,7;25,7;17;;4,0
"2016-01-31 00:00:00";337;8,6;10,5;46,3;7;;6,0
"2016-02-01 00:00:00";439;14,2;19,3;38,5;11;;3,3
"2016-02-02 00:00:00";419;9,1;12,3;29,7;12;;5,2
"2016-02-03 00:00:00";398;17,5;25,2;32,9;12;;4,1
"2016-02-04 00:00:00";507;25,9;38,9;37,6;22;;4,2
"2016-02-05 00:00:00";1032;40,2;120,8;14,5;40;;4,2
"2016-02-06 00:00:00";903;21,7;53,7;21,5;38;;4,0
"2016-02-07 00:00:00";621;21,1;27,3;34,7;26;;5,4
"2016-02-08 00:00:00";386;13,6;18,1;45,5;17;;7,0
"2016-02-09 00:00:00";379;7,6;10,5;52,3;13;;9,0
"2016-02-10 00:00:00";299;9,9;12,2;57,6;6;;4,3
"2016-02-11 00:00:00";300;12,0;14,5;48,7;7;;2,5
"2016-02-12 00:00:00";480;24,2;43,7;37,6;23;;6,6
"2016-02-13 00:00:00";443;17,2;21,7;40,5;21;;3,8
"2016-02-14 00:00:00";384;13,3;20,3;49,9;14;;5,5
"2016-02-15 00:00:00";517;28,1;51,4;18,6;23;;7,1
"2016-02-16 00:00:00";466;23,6;34,2;22,4;20;;3,9
"2016-02-17 00:00:00";525;30,2;53,0;24,1;25;;4,4
"2016-02-18 00:00:00";812;39,0;81,9;5,8;45;;4,6
"2016-02-19 00:00:00";422;15,3;23,3;21,7;15;;3,0
"2016-02-20 00:00:00";462;14,6;18,2;33,6;15;;4,3
"2016-02-21 00:00:00";401;8,6;10,5;40,2;15;;4,4
"2016-02-22 00:00:00";291;6,9;8,6;53,7;14;;3,5
"2016-02-23 00:00:00";434;11,6;14,5;43,3;27;;2,9
"2016-02-24 00:00:00";385;16,8;20,7;46,1;14;;4,1
"2016-02-25 00:00:00";442;18,3;24,0;38,6;18;;3,8
"2016-02-26 00:00:00";447;24,1;29,7;42,5;21;;4,3
"2016-02-27 00:00:00";525;32,5;45,2;45,2;30;;5,2
"2016-02-28 00:00:00";625;21,7;27,6;39,4;27;;5,4
"2016-02-29 00:00:00";521;35,9;50,9;25,0;25;;3,8
"2016-03-01 00:00:00";370;12,4;14,9;36,7;15;;3,4
"2016-03-02 00:00:00";483;17,3;23,5;28,3;20;;4,7
"2016-03-03 00:00:00";452;26,3;36,9;37,3;20;;3,0
"2016-03-04 00:00:00";586;22,8;33,8;32,5;29;;4,4
"2016-03-05 00:00:00";738;21,6;39,8;28,4;35;;4,0
"2016-03-06 00:00:00";501;18,6;21,9;39,8;21;;6,4
"2016-03-07 00:00:00";410;25,7;29,9;42,5;12;;3,7
"2016-03-08 00:00:00";562;28,7;37,8;30,1;20;;3,4
"2016-03-09 00:00:00";587;35,1;54,6;33,2;23;;3,6
"2016-03-10 00:00:00";400;23,9;33,5;31,4;20;;3,4
"2016-03-11 00:00:00";322;24,7;33,3;47,8;24;;3,9
"2016-03-12 00:00:00";305;12,4;16,3;46,3;18;;5,9
"2016-03-13 00:00:00";;;;;;;
"2016-03-14 00:00:00";297;14,3;19,2;62,8;12;;3,8
"2016-03-15 00:00:00";324;11,3;13,2;58,0;15;;3,1
"2016-03-16 00:00:00";413;32,7;48,9;42,0;20;;3,1
"2016-03-17 00:00:00";453;24,7;31,3;54,3;28;;5,4
