Date;"CO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"O3 (ug/m3)";"PM10 (ug/m3)";"PM2.5 (ug/m3)";"SO2 (ug/m3)"
"Limit values";-;85;;-;50;-;125
"2018-01-01 00:00:00";466;11,3;20,8;35,2;22;;9,8
"2018-01-02 00:00:00";580;20,2;32,9;11,4;29;;3,6
"2018-01-03 00:00:00";301;10,4;14,2;33,1;9;;2,2
"2018-01-04 00:00:00";434;17,2;29,5;29,2;16;;2,0
"2018-01-05 00:00:00";370;13,4;17,3;40,1;15;;5,4
"2018-01-06 00:00:00";372;13,7;17,2;38,8;17;;12,7
"2018-01-07 00:00:00";588;21,0;39,2;26,5;31;;9,8
"2018-01-08 00:00:00";540;23,6;45,8;9,9;26;;3,1
"2018-01-09 00:00:00";704;30,8;86,3;11,0;29;;2,7
"2018-01-10 00:00:00";1135;37,6;116,4;5,5;53;;2,3
"2018-01-11 00:00:00";679;25,0;55,6;7,8;33;;2,6
"2018-01-12 00:00:00";611;22,7;40,5;11,3;33;;2,5
"2018-01-13 00:00:00";390;9,8;12,7;38,3;9;;2,3
"2018-01-14 00:00:00";578;23,8;37,0;33,9;20;;2,3
"2018-01-15 00:00:00";744;25,8;44,4;13,8;34;;2,4
"2018-01-16 00:00:00";632;19,9;27,1;24,6;23;;2,6
"2018-01-17 00:00:00";692;24,4;34,4;20,0;27;;2,4
"2018-01-18 00:00:00";;21,5;32,0;35,6;18;;
"2018-01-19 00:00:00";263;15,0;19,8;37,0;16;;
"2018-01-20 00:00:00";318;18,9;35,0;28,8;16;;1,4
"2018-01-21 00:00:00";434;21,3;27,1;37,0;16;;1,4
"2018-01-22 00:00:00";784;30,8;77,8;40,8;36;;3,1
"2018-01-23 00:00:00";1481;58,3;162,7;17,8;71;;4,3
"2018-01-24 00:00:00";825;26,4;41,9;29,9;40;;4,5
"2018-01-25 00:00:00";722;37,1;51,7;35,6;35;;5,1
"2018-01-26 00:00:00";1255;48,7;115,0;21,3;58;;4,8
"2018-01-27 00:00:00";826;40,5;58,4;28,9;48;;12,4
"2018-01-28 00:00:00";682;16,6;22,1;24,6;39;;4,5
"2018-01-29 00:00:00";604;12,3;16,8;27,2;25;;3,1
"2018-01-30 00:00:00";363;24,0;33,0;38,4;16;;4,4
"2018-01-31 00:00:00";707;31,4;56,2;18,0;26;;2,8
"2018-02-01 00:00:00";435;9,3;12,6;48,5;17;;9,1
"2018-02-02 00:00:00";456;21,1;35,9;37,5;24;;4,8
"2018-02-03 00:00:00";396;18,6;24,4;38,7;10;;1,6
"2018-02-04 00:00:00";395;19,2;22,7;44,5;20;;2,3
"2018-02-05 00:00:00";541;29,3;37,7;33,9;27;;2,6
"2018-02-06 00:00:00";482;23,7;31,2;37,8;23;;2,4
"2018-02-07 00:00:00";513;33,2;51,5;35,3;26;;4,1
"2018-02-08 00:00:00";705;31,4;49,7;19,5;30;;3,0
"2018-02-09 00:00:00";572;26,1;37,6;16,4;30;;2,4
"2018-02-10 00:00:00";635;25,1;35,1;28,2;34;;4,0
"2018-02-11 00:00:00";694;25,0;44,3;39,4;40;;2,9
"2018-02-12 00:00:00";602;29,3;38,4;32,1;34;;4,4
"2018-02-13 00:00:00";515;37,5;55,1;37,1;28;;3,5
"2018-02-14 00:00:00";533;28,1;40,3;45,3;21;;2,4
"2018-02-15 00:00:00";610;29,4;36,0;33,5;27;;2,9
"2018-02-16 00:00:00";596;25,5;29,6;34,4;27;;2,4
"2018-02-17 00:00:00";620;43,9;70,6;29,4;28;;6,3
"2018-02-18 00:00:00";454;21,4;31,2;53,8;20;;2,6
"2018-02-19 00:00:00";416;26,6;34,3;56,2;19;;5,2
"2018-02-20 00:00:00";494;26,5;33,8;48,0;19;;4,8
"2018-02-21 00:00:00";463;32,6;47,6;38,6;23;;2,2
"2018-02-22 00:00:00";428;19,9;25,9;56,4;18;;4,1
"2018-02-23 00:00:00";484;22,7;30,0;48,9;22;;3,5
