Date;"CO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"O3 (ug/m3)";"PM10 (ug/m3)";"PM2.5 (ug/m3)";"SO2 (ug/m3)"
"Limit values";-;85;;-;50;-;125
"2023-01-01 00:00:00";826;13,6;32,5;27,0;32;29;
"2023-01-02 00:00:00";1121;23,1;64,2;10,0;40;42;
"2023-01-03 00:00:00";688;12,2;18,2;12,2;25;39;
"2023-01-04 00:00:00";587;14,0;21,7;27,7;12;17;
"2023-01-05 00:00:00";540;7,3;11,5;32,0;10;16;
"2023-01-06 00:00:00";816;23,1;74,2;20,5;19;19;
"2023-01-07 00:00:00";681;10,6;17,3;21,7;15;17;
"2023-01-08 00:00:00";681;8,7;15,7;27,5;17;21;
"2023-01-09 00:00:00";628;11,7;19,5;39,0;13;14;
"2023-01-10 00:00:00";412;14,5;21,0;30,1;11;19;
"2023-01-11 00:00:00";321;14,8;40,5;21,0;15;16;
"2023-01-12 00:00:00";256;14,2;21,6;18,5;17;22;
"2023-01-13 00:00:00";224;12,3;16,7;29,6;16;20;
"2023-01-14 00:00:00";283;10,1;14,1;20,8;24;36;
"2023-01-15 00:00:00";211;6,9;10,6;41,5;12;21;
"2023-01-16 00:00:00";235;10,7;16,4;34,3;13;16;
"2023-01-17 00:00:00";211;8,3;14,7;45,0;8;9;
"2023-01-18 00:00:00";272;12,0;23,9;41,5;11;11;
"2023-01-19 00:00:00";96;6,1;12,0;44,8;8;11;
"2023-01-20 00:00:00";218;15,6;24,7;19,9;8;12;
"2023-01-21 00:00:00";289;10,3;17,8;20,9;10;16;
"2023-01-22 00:00:00";287;9,7;16,8;27,9;12;16;
"2023-01-23 00:00:00";321;14,0;24,0;23,3;13;13;
"2023-01-24 00:00:00";339;19,8;31,6;26,1;15;15;
"2023-01-25 00:00:00";397;13,0;19,4;23,8;18;15;
"2023-01-26 00:00:00";422;15,0;23,4;24,7;18;23;
"2023-01-27 00:00:00";357;14,8;22,9;31,6;17;18;
"2023-01-28 00:00:00";343;9,9;16,4;34,0;16;17;
"2023-01-29 00:00:00";402;8,4;14,1;30,0;14;16;
"2023-01-30 00:00:00";136;5,6;11,2;35,6;14;17;
"2023-01-31 00:00:00";238;16,9;33,7;23,0;14;19;
"2023-02-01 00:00:00";;7,1;12,5;40,4;7;9;
"2023-02-02 00:00:00";;7,8;13,2;43,5;8;8;
"2023-02-03 00:00:00";;12,5;22,0;32,1;9;11;
"2023-02-04 00:00:00";;12,7;22,6;36,8;10;12;
"2023-02-05 00:00:00";;5,7;12,8;45,6;10;12;
"2023-02-06 00:00:00";235;13,4;23,7;38,5;14;13;
"2023-02-07 00:00:00";278;16,0;25,5;39,4;17;15;
"2023-02-08 00:00:00";454;19,6;31,3;39,3;24;23;
"2023-02-09 00:00:00";1173;35,7;87,2;31,0;59;46;
"2023-02-10 00:00:00";995;28,5;58,3;32,2;47;78;
"2023-02-11 00:00:00";526;11,4;21,1;42,6;27;37;
"2023-02-12 00:00:00";529;23,6;37,8;31,6;23;35;
"2023-02-13 00:00:00";937;34,7;71,5;19,2;35;37;
"2023-02-14 00:00:00";776;36,3;57,4;21,8;32;46;
"2023-02-15 00:00:00";823;26,7;60,3;34,6;33;26;
"2023-02-16 00:00:00";1171;29,1;78,3;22,9;46;66;
"2023-02-17 00:00:00";731;12,4;23,6;29,8;36;56;
"2023-02-18 00:00:00";505;4,9;14,6;44,0;8;16;
"2023-02-19 00:00:00";481;5,8;15,8;43,8;6;13;
"2023-02-20 00:00:00";442;7,5;16,6;44,9;7;10;
"2023-02-21 00:00:00";318;8,3;18,4;43,2;8;15;
"2023-02-22 00:00:00";627;27,0;53,8;28,1;23;19;
"2023-02-23 00:00:00";722;25,0;56,4;37,7;31;27;
"2023-02-24 00:00:00";617;15,2;34,3;25,9;24;36;
"2023-02-25 00:00:00";356;5,3;15,2;43,6;12;13;
"2023-02-26 00:00:00";355;8,3;17,8;36,9;6;11;
"2023-02-27 00:00:00";351;9,1;17,8;46,9;10;11;
"2023-02-28 00:00:00";487;16,3;27,2;31,0;15;14;
"2023-03-01 00:00:00";436;13,5;24,1;43,3;13;15;
"2023-03-02 00:00:00";787;19,9;56,8;38,9;35;23;
"2023-03-03 00:00:00";885;22,7;50,0;29,4;38;47;
"2023-03-04 00:00:00";559;7,5;16,5;36,8;18;25;
"2023-03-05 00:00:00";474;9,0;17,2;38,0;10;15;
"2023-03-06 00:00:00";541;11,7;21,5;36,8;14;13;
"2023-03-07 00:00:00";601;10,8;20,2;33,2;15;20;
"2023-03-08 00:00:00";566;6,0;15,0;48,7;13;13;
"2023-03-09 00:00:00";585;7,9;17,7;45,4;13;9;
"2023-03-10 00:00:00";466;6,0;15,5;42,2;13;10;
"2023-03-11 00:00:00";416;5,2;13,8;47,6;7;8;
"2023-03-12 00:00:00";452;;;58,5;11;9;
"2023-03-13 00:00:00";474;6,9;15,4;52,1;14;12;
"2023-03-14 00:00:00";476;9,2;18,5;51,2;19;12;
"2023-03-15 00:00:00";469;9,6;18,2;45,4;12;14;
"2023-03-16 00:00:00";469;9,2;17,3;55,1;13;10;
"2023-03-17 00:00:00";656;20,4;31,9;46,6;22;14;
"2023-03-18 00:00:00";804;19,5;35,6;46,2;27;23;
"2023-03-19 00:00:00";960;26,2;47,8;36,1;38;41;
"2023-03-20 00:00:00";715;23,8;43,5;35,7;32;31;
"2023-03-21 00:00:00";860;21,0;49,5;37,2;36;38;
"2023-03-22 00:00:00";695;22,4;43,3;33,8;26;17;
"2023-03-23 00:00:00";713;17,3;33,7;34,8;29;29;
"2023-03-24 00:00:00";501;9,2;13,7;56,0;22;16;
"2023-03-25 00:00:00";463;7,3;12,1;40,6;12;12;
"2023-03-26 00:00:00";492;6,7;10,2;50,1;8;6;
"2023-03-27 00:00:00";490;6,5;9,6;49,4;8;7;
"2023-03-28 00:00:00";519;10,8;14,5;55,2;9;9;
"2023-03-29 00:00:00";574;;;54,9;14;10;
"2023-03-30 00:00:00";558;;;54,6;14;11;
"2023-03-31 00:00:00";583;;;52,5;14;11;
"2023-04-01 00:00:00";431;;;47,0;8;8;
"2023-04-02 00:00:00";479;;;42,6;9;9;
"2023-04-03 00:00:00";498;;;50,2;44;13;
"2023-04-04 00:00:00";542;;;55,0;22;11;
"2023-04-05 00:00:00";528;;;57,8;14;9;
"2023-04-06 00:00:00";611;;;46,6;14;13;
"2023-04-07 00:00:00";743;;;39,7;17;18;
"2023-04-08 00:00:00";765;;;37,7;15;18;
"2023-04-09 00:00:00";726;;;40,8;16;17;
"2023-04-10 00:00:00";711;;;38,0;18;18;
"2023-04-11 00:00:00";589;;;43,1;11;11;
"2023-04-12 00:00:00";567;;;51,3;8;7;
"2023-04-13 00:00:00";574;;;57,7;12;10;
"2023-04-14 00:00:00";537;12,6;15,4;52,1;14;10;
"2023-04-15 00:00:00";563;11,3;14,0;54,7;13;10;
"2023-04-16 00:00:00";505;10,4;13,3;61,6;11;10;
"2023-04-17 00:00:00";496;14,5;18,6;49,0;11;8;
"2023-04-18 00:00:00";458;16,1;20,6;55,4;13;8;
"2023-04-19 00:00:00";460;14,5;18,2;58,8;18;11;
"2023-04-20 00:00:00";471;12,3;15,6;57,0;21;14;
"2023-04-21 00:00:00";491;15,2;18,5;68,5;27;15;
"2023-04-22 00:00:00";556;20,2;27,5;65,7;28;16;
"2023-04-23 00:00:00";513;13,9;17,1;57,4;26;20;
"2023-04-24 00:00:00";509;12,5;15,6;48,3;21;15;
"2023-04-25 00:00:00";476;10,6;13,8;45,5;9;12;
"2023-04-26 00:00:00";468;9,9;13,1;58,9;11;11;
"2023-04-27 00:00:00";548;15,9;21,0;56,5;17;11;
"2023-04-28 00:00:00";646;20,0;31,2;48,4;24;20;
"2023-04-29 00:00:00";527;13,3;16,1;64,1;19;16;
"2023-04-30 00:00:00";528;11,1;14,6;54,9;17;14;
"2023-05-01 00:00:00";500;10,1;13,2;66,3;13;11;
"2023-05-02 00:00:00";555;16,5;20,1;56,5;18;11;
"2023-05-03 00:00:00";619;11,4;14,5;59,9;19;16;
"2023-05-04 00:00:00";664;6,9;9,4;67,0;12;9;
"2023-05-05 00:00:00";583;12,8;15,8;64,7;17;6;
"2023-05-06 00:00:00";521;7,6;10,4;75,9;18;11;
"2023-05-07 00:00:00";491;5,4;8,2;66,5;10;11;
"2023-05-08 00:00:00";486;7,8;11,4;58,0;13;7;
"2023-05-09 00:00:00";494;11,6;17,8;64,4;9;6;
"2023-05-10 00:00:00";498;7,3;10,2;65,6;11;8;1,8
"2023-05-11 00:00:00";487;6,5;9,3;68,8;14;8;1,8
"2023-05-12 00:00:00";506;6,2;9,1;68,1;13;9;1,8
"2023-05-13 00:00:00";548;16,3;24,5;49,7;11;8;1,8
"2023-05-14 00:00:00";597;12,8;18,7;50,7;13;10;1,7
"2023-05-15 00:00:00";603;10,2;13,4;45,7;14;10;1,6
"2023-05-16 00:00:00";583;9,0;12,5;36,9;16;12;1,5
"2023-05-17 00:00:00";534;9,1;12,3;48,7;16;13;1,5
"2023-05-18 00:00:00";539;13,2;16,8;50,6;8;7;1,5
"2023-05-19 00:00:00";559;15,4;19,5;52,6;15;6;1,5
"2023-05-20 00:00:00";;;;;12;;
"2023-05-21 00:00:00";;;;;;;
"2023-05-22 00:00:00";;;;;;;
"2023-05-23 00:00:00";;6,3;8,2;75,3;16;11;1,2
"2023-05-24 00:00:00";;12,3;14,2;65,1;13;10;1,2
"2023-05-25 00:00:00";;9,0;11,3;71,1;18;13;1,3
"2023-05-26 00:00:00";327;9,9;12,1;81,8;22;16;1,5
"2023-05-27 00:00:00";305;5,6;7,4;89,7;18;12;1,3
"2023-05-28 00:00:00";323;5,1;6,9;75,2;15;;1,4
"2023-05-29 00:00:00";360;10,2;13,1;58,3;14;;1,2
"2023-05-30 00:00:00";387;11,6;15,1;74,2;19;;1,6
"2023-05-31 00:00:00";340;11,1;13,2;81,0;20;13;1,5
"2023-06-01 00:00:00";358;10,8;12,8;68,5;19;11;1,1
"2023-06-02 00:00:00";353;5,4;7,3;77,2;19;10;1,1
"2023-06-03 00:00:00";336;4,3;6,1;69,8;14;10;1,1
"2023-06-04 00:00:00";348;6,5;8,3;70,4;15;8;1,8
"2023-06-05 00:00:00";;8,4;10,6;;20;15;1,3
"2023-06-06 00:00:00";;7,5;9,5;;10;9;1,0
"2023-06-07 00:00:00";;8,4;10,5;;13;10;0,9
"2023-06-08 00:00:00";378;5,6;7,5;64,4;15;11;1,0
"2023-06-09 00:00:00";347;7,7;9,9;53,6;12;11;0,8
"2023-06-10 00:00:00";364;6,7;8,8;61,6;12;9;0,8
"2023-06-11 00:00:00";316;5,5;7,9;64,8;10;6;0,8
"2023-06-12 00:00:00";339;12,4;15,6;68,3;9;4;1,0
"2023-06-13 00:00:00";318;8,1;10,7;46,6;10;6;1,0
"2023-06-14 00:00:00";314;9,8;12,8;57,8;16;10;1,0
"2023-06-15 00:00:00";362;10,7;13,2;71,8;14;10;0,9
"2023-06-16 00:00:00";449;9,8;12,3;66,0;11;8;0,9
"2023-06-17 00:00:00";342;5,8;7,8;78,3;10;6;0,9
"2023-06-18 00:00:00";308;7,6;9,8;71,0;16;11;1,1
"2023-06-19 00:00:00";297;6,9;9,2;78,1;17;12;0,8
"2023-06-20 00:00:00";335;8,6;10,7;81,4;20;10;1,4
"2023-06-21 00:00:00";277;8,4;10,6;83,9;27;17;1,4
"2023-06-22 00:00:00";250;5,7;7,8;77,2;18;11;0,8
"2023-06-23 00:00:00";260;7,4;9,6;78,0;27;14;0,8
"2023-06-24 00:00:00";203;3,5;5,6;77,2;10;10;0,8
"2023-06-25 00:00:00";191;4,5;6,7;76,0;11;7;0,8
"2023-06-26 00:00:00";219;10,0;12,3;75,1;18;11;0,9
"2023-06-27 00:00:00";223;7,9;10,3;56,2;18;16;0,7
"2023-06-28 00:00:00";237;9,1;11,4;59,6;13;7;0,7
"2023-06-29 00:00:00";349;7,9;10,5;56,6;11;8;0,7
"2023-06-30 00:00:00";381;7,6;9,8;71,7;17;9;0,7
"2023-07-01 00:00:00";359;5,0;7,1;80,5;18;11;0,9
"2023-07-02 00:00:00";349;3,8;6,0;72,2;19;16;0,5
"2023-07-03 00:00:00";323;9,4;11,7;72,4;14;8;0,6
"2023-07-04 00:00:00";330;9,2;11,6;61,6;20;13;0,6
"2023-07-05 00:00:00";347;7,8;10,3;79,4;20;12;0,7
"2023-07-06 00:00:00";;;;;;;
"2023-07-07 00:00:00";351;7,3;9,8;82,0;14;10;0,4
"2023-07-08 00:00:00";378;9,5;12,8;74,9;15;7;0,5
"2023-07-09 00:00:00";423;8,8;11,1;79,5;18;12;0,8
"2023-07-10 00:00:00";497;9,8;12,2;89,5;26;14;0,8
