Date;"CO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"O3 (ug/m3)";"PM10 (ug/m3)";"PM2.5 (ug/m3)";"SO2 (ug/m3)"
"Limit values";-;85;;-;50;-;125
"2017-01-01 00:00:00";1329;;;;77;;10,2
"2017-01-02 00:00:00";1024;;;;68;;7,5
"2017-01-03 00:00:00";792;;;;70;;7,4
"2017-01-04 00:00:00";484;;;;17;;7,4
"2017-01-05 00:00:00";495;;;;21;;4,1
"2017-01-06 00:00:00";454;;;;83;;4,1
"2017-01-07 00:00:00";460;;;;46;;5,5
"2017-01-08 00:00:00";348;;;;31;;4,6
"2017-01-09 00:00:00";596;;;;39;;12,7
"2017-01-10 00:00:00";1198;;;;62;;10,2
"2017-01-11 00:00:00";774;;;;49;;6,7
"2017-01-12 00:00:00";737;;;;55;;10,2
"2017-01-13 00:00:00";535;;;;21;;6,3
"2017-01-14 00:00:00";569;;;;16;;3,5
"2017-01-15 00:00:00";763;;;;35;;3,0
"2017-01-16 00:00:00";961;;;;42;;3,4
"2017-01-17 00:00:00";498;;;;23;;4,2
"2017-01-18 00:00:00";481;;;;29;;4,9
"2017-01-19 00:00:00";721;;;;38;;6,4
"2017-01-20 00:00:00";1174;;;;84;;6,0
"2017-01-21 00:00:00";1833;;;;128;;5,2
"2017-01-22 00:00:00";1531;;;;126;;5,3
"2017-01-23 00:00:00";1219;;;;67;;4,8
"2017-01-24 00:00:00";1325;;;;80;;6,0
"2017-01-25 00:00:00";1076;;;;70;;5,3
"2017-01-26 00:00:00";1078;;;;70;;4,8
"2017-01-27 00:00:00";628;;;;45;;3,3
"2017-01-28 00:00:00";756;;;;61;;3,3
"2017-01-29 00:00:00";1355;;;;102;;3,9
"2017-01-30 00:00:00";2167;;;;154;;7,0
"2017-01-31 00:00:00";1855;;;;124;;14,2
"2017-02-01 00:00:00";961;;;;41;;9,7
"2017-02-02 00:00:00";562;;;;10;;7,7
"2017-02-03 00:00:00";558;;;;12;;5,2
"2017-02-04 00:00:00";508;;;;11;;4,6
"2017-02-05 00:00:00";620;;;;18;;3,5
"2017-02-06 00:00:00";704;;;;17;;4,1
"2017-02-07 00:00:00";627;;;;20;;3,1
"2017-02-08 00:00:00";569;;;;26;;7,3
"2017-02-09 00:00:00";653;;;;38;;7,9
"2017-02-10 00:00:00";820;;;;39;;4,3
"2017-02-11 00:00:00";667;;;;35;;3,6
"2017-02-12 00:00:00";566;;;;20;;2,7
"2017-02-13 00:00:00";624;;;;27;;3,3
"2017-02-14 00:00:00";521;;;;43;;3,3
"2017-02-15 00:00:00";577;;;;59;;3,4
"2017-02-16 00:00:00";663;;;;61;;3,2
"2017-02-17 00:00:00";698;;;;54;;3,0
"2017-02-18 00:00:00";772;;;;58;;3,9
"2017-02-19 00:00:00";710;;;;47;;4,1
"2017-02-20 00:00:00";553;;;;24;;3,0
"2017-02-21 00:00:00";574;;;;29;;3,3
"2017-02-22 00:00:00";474;;;;12;;3,8
"2017-02-23 00:00:00";370;;;;14;;3,3
"2017-02-24 00:00:00";278;;;;12;;3,0
"2017-02-25 00:00:00";309;;;;16;;3,1
"2017-02-26 00:00:00";598;;;;27;;4,4
"2017-02-27 00:00:00";715;;;;44;;5,4
"2017-02-28 00:00:00";524;;;;45;;5,2
"2017-03-01 00:00:00";350;;;;22;;3,7
"2017-03-02 00:00:00";339;;;;12;;4,8
"2017-03-03 00:00:00";461;;;;27;;4,1
"2017-03-04 00:00:00";267;15,0;16,8;71,4;23;;5,6
"2017-03-05 00:00:00";345;12,0;13,7;61,0;26;;6,1
"2017-03-06 00:00:00";364;16,0;20,9;52,7;15;;4,1
"2017-03-07 00:00:00";359;22,7;28,6;51,6;14;;3,8
"2017-03-08 00:00:00";370;20,4;24,6;50,7;24;;4,4
"2017-03-09 00:00:00";387;23,8;30,5;34,3;23;;3,6
"2017-03-10 00:00:00";453;25,3;45,1;40,7;21;;3,2
"2017-03-11 00:00:00";321;12,5;14,3;70,8;25;;4,2
"2017-03-12 00:00:00";319;13,1;16,1;65,0;14;;3,4
