Date;"CO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"O3 (ug/m3)";"PM10 (ug/m3)";"PM2.5 (ug/m3)";"SO2 (ug/m3)"
"Limit values";10000;100;;-;-;-;250
"2016-01-01 00:00:00";3800;39,9;278,6;12,8;178;;6,0
"2016-01-01 01:00:00";4431;37,6;229,8;16,4;241;;5,7
"2016-01-01 02:00:00";3473;33,8;185,4;8,7;188;;5,3
"2016-01-01 03:00:00";2965;28,9;150,8;4,5;158;;4,8
"2016-01-01 04:00:00";2553;29,3;148,5;3,5;121;;4,7
"2016-01-01 05:00:00";2053;30,6;127,9;2,8;85;;3,9
"2016-01-01 06:00:00";1961;30,1;143,5;2,9;80;;3,8
"2016-01-01 07:00:00";1826;28,5;144,4;1,8;73;;3,7
"2016-01-01 08:00:00";1473;27,5;106,6;1,3;61;;3,8
"2016-01-01 09:00:00";1335;16,6;34,9;14,3;70;;6,1
"2016-01-01 10:00:00";1183;10,7;22,2;23,2;52;;12,9
"2016-01-01 11:00:00";880;9,3;16,5;31,2;41;;18,6
"2016-01-01 12:00:00";501;5,8;8,5;43,3;10;;15,1
"2016-01-01 13:00:00";449;6,6;9,0;51,8;10;;13,3
"2016-01-01 14:00:00";444;8,2;10,4;55,1;15;;15,0
"2016-01-01 15:00:00";435;8,1;9,7;55,3;17;;16,7
"2016-01-01 16:00:00";574;17,3;20,4;46,3;24;;17,4
"2016-01-01 17:00:00";790;28,9;34,3;26,4;34;;10,6
"2016-01-01 18:00:00";770;43,6;65,1;3,1;37;;5,8
"2016-01-01 19:00:00";1447;43,2;143,1;3,6;60;;5,1
"2016-01-01 20:00:00";2860;51,0;316,7;10,1;117;;6,5
"2016-01-01 21:00:00";5617;61,7;325,5;37,9;291;;11,1
"2016-01-01 22:00:00";5464;52,0;293,6;21,5;272;;11,6
"2016-01-01 23:00:00";4107;49,6;221,1;15,5;186;;13,5
"2016-01-02 00:00:00";3390;47,8;173,4;8,8;151;;11,5
"2016-01-02 01:00:00";3248;44,0;134,4;8,8;155;;12,0
"2016-01-02 02:00:00";1609;44,9;83,1;1,7;77;;8,6
"2016-01-02 03:00:00";1328;39,8;69,3;1,3;62;;5,8
